DATE,TIME,UTC_OFFSET,ID,LAT,LON,SPEED,HEADING,GPS_ALT,BOOMSTATE,SATELLITES,PDOP,TARGETRATE,ACTUALRATE,WIDTH,OVERLAP,DIST_OFFL,AUTOBOOMS,INWORKAREA
2/3/2024,9:55:14,-08:00,TM52179:21106,57.7106,-122.887,57.1,126.4,959,0,19,1,0,0,26,3,0,0,0
2/3/2024,9:55:15,-08:00,TM52179:21106,57.7104,-122.887,57.6,127.5,957,0,20,1,0,0,26,3,0,0,0
2/3/2024,9:55:16,-08:00,TM52179:21106,57.7103,-122.886,58.2,129.2,955,0,20,1,0,0,26,3,0,0,0
2/3/2024,9:55:17,-08:00,TM52179:21106,57.7101,-122.886,58.7,130.9,952,0,20,1,0,0,26,3,0,0,0
2/3/2024,9:55:18,-08:00,TM52179:21106,57.7099,-122.885,59,132.8,950,0,19,1,0,0,26,3,0,0,0
2/3/2024,9:55:18,-08:00,TM52179:21106,57.7098,-122.885,58.8,133.7,949,0,19,1,0,0,26,3,0,0,0
2/3/2024,9:55:19,-08:00,TM52179:21106,57.7096,-122.885,58.3,135.2,948,0,19,1,0,0,26,3,0,0,0
2/3/2024,9:55:20,-08:00,TM52179:21106,57.7094,-122.884,58,135.9,947,0,19,1.1,0,0,26,3,0,0,0
2/3/2024,9:55:21,-08:00,TM52179:21106,57.7092,-122.884,58,135.6,946,0,19,1.1,0,0,26,3,0,0,0
2/3/2024,9:55:23,-08:00,TM52179:21106,57.7089,-122.884,58,136.4,946,0,19,1.1,0,0,26,3,0,0,0
2/3/2024,9:55:23,-08:00,TM52179:21106,57.7088,-122.883,58.1,138.1,944,0,19,1,0,0,26,3,0,0,0
2/3/2024,9:55:25,-08:00,TM52179:21106,57.7085,-122.883,58.5,142.7,942,0,19,1.1,0,0,26,3,0,0,0
2/3/2024,9:55:25,-08:00,TM52179:21106,57.7084,-122.883,58.6,145.2,940,0,19,1.1,0,0,26,3,0,0,0
2/3/2024,9:55:26,-08:00,TM52179:21106,57.7082,-122.883,58.3,148.9,938,0,19,1.1,0,0,26,3,0,0,0
2/3/2024,9:55:27,-08:00,TM52179:21106,57.7079,-122.882,57.6,151.5,939,0,19,1.1,0,0,26,3,0,0,0
2/3/2024,9:55:28,-08:00,TM52179:21106,57.7078,-122.882,57.3,152.1,939,0,19,1.1,0,0,26,3,0,0,0
2/3/2024,9:55:29,-08:00,TM52179:21106,57.7076,-122.882,56.3,152.6,940,0,19,1.1,0,0,26,3,0,0,0
2/3/2024,9:55:30,-08:00,TM52179:21106,57.7074,-122.882,55.3,152.2,942,0,19,1.1,0,0,26,3,0,0,0
