DATE,TIME,UTC_OFFSET,ID,LAT,LON,SPEED,HEADING,GPS_ALT,BOOMSTATE,SATELLITES,PDOP,TARGETRATE,ACTUALRATE,WIDTH,OVERLAP,DIST_OFFL,AUTOBOOMS,INWORKAREA
2/6/2024,8:59:14,-08:00,TM52179:36,49.4429,-115.774,58.2,165.8,1336,0,18,1.1,0,0,26,3,0,0,0
2/6/2024,8:59:15,-08:00,TM52179:36,49.4427,-115.774,58.2,165.5,1339,0,18,1.1,0,0,26,3,0,0,0
2/6/2024,8:59:16,-08:00,TM52179:36,49.4424,-115.774,58.3,165.3,1342,0,18,1.1,0,0,26,3,0,0,0
2/6/2024,8:59:17,-08:00,TM52179:36,49.4422,-115.774,58.2,165.4,1344,0,18,1.1,0,0,26,3,0,0,0
2/6/2024,8:59:18,-08:00,TM52179:36,49.4419,-115.774,58,165.9,1347,0,18,1.1,0,0,26,3,0,0,0
2/6/2024,8:59:19,-08:00,TM52179:36,49.4416,-115.773,58,166.8,1350,0,18,1.1,0,0,26,3,0,0,0
2/6/2024,8:59:20,-08:00,TM52179:36,49.4414,-115.773,58.1,167.9,1353,0,18,1.1,0,0,26,3,0,0,0
2/6/2024,8:59:21,-08:00,TM52179:36,49.4411,-115.773,58.3,169.4,1355,0,18,1.1,0,0,26,3,0,0,0
2/6/2024,8:59:22,-08:00,TM52179:36,49.441,-115.773,58.6,170.9,1357,0,18,1.1,0,0,26,3,0,0,0
2/6/2024,8:59:23,-08:00,TM52179:36,49.4407,-115.773,58.5,173.9,1359,0,18,1.2,0,0,26,3,0,0,0
2/6/2024,8:59:24,-08:00,TM52179:36,49.4404,-115.773,58.5,177.3,1361,0,18,1.1,0,0,26,3,0,0,0
2/6/2024,8:59:25,-08:00,TM52179:36,49.4401,-115.773,58.4,180.4,1364,0,18,1.1,0,0,26,3,0,0,0
2/6/2024,8:59:26,-08:00,TM52179:36,49.4399,-115.773,58.6,183.3,1366,0,18,1.1,0,0,26,3,0,0,0
2/6/2024,8:59:26,-08:00,TM52179:36,49.4398,-115.773,58.6,184,1366,0,18,1.1,0,0,26,3,0,0,0
2/6/2024,8:59:27,-08:00,TM52179:36,49.4396,-115.773,58.1,187.1,1368,0,18,1.1,0,0,26,3,0,0,0
2/6/2024,8:59:28,-08:00,TM52179:36,49.4393,-115.773,57.7,190.8,1370,0,18,1.1,0,0,26,3,0,0,0
2/6/2024,8:59:28,-08:00,TM52179:36,49.4392,-115.773,57.6,191.6,1370,0,18,1.1,0,0,26,3,0,0,0
2/6/2024,8:59:29,-08:00,TM52179:36,49.439,-115.773,57.3,196.2,1371,0,18,1.1,0,0,26,3,0,0,0
